seed,total_reward,win,steps
1001,-173.59999999999997,False,515
1002,-160.90000000000066,False,518
1003,-161.90000000000063,False,508
1004,-161.80000000000064,False,507
1005,-163.10000000000065,False,510
1006,-152.30000000000047,False,502
1007,-164.30000000000064,False,522
1008,-151.60000000000045,False,505
1009,-149.70000000000044,False,516
1010,-164.30000000000064,False,522
1011,-163.10000000000065,False,510
1012,-130.3,False,82
1013,-152.30000000000047,False,502
1014,-152.30000000000047,False,502
1015,-187.09999999999937,False,760
1016,-152.30000000000047,False,502
1017,-198.49999999999858,False,774
1018,-151.60000000000045,False,505
1019,-151.60000000000045,False,505
1020,-152.30000000000047,False,502
1021,-150.90000000000043,False,508
1022,-189.39999999999918,False,933
1023,-162.20000000000064,False,511
1024,-160.00000000000057,False,519
1025,-163.30000000000067,False,522
1026,-152.30000000000047,False,502
1027,-152.30000000000047,False,502
1028,-151.90000000000046,False,508
1029,-150.80000000000044,False,507
1030,-160.90000000000066,False,518
1031,-152.30000000000047,False,502
1032,-164.30000000000064,False,522
1033,-161.10000000000062,False,510
1034,-152.30000000000047,False,502
1035,-164.10000000000065,False,520
1036,-152.30000000000047,False,502
1037,-162.60000000000065,False,525
1038,-152.30000000000047,False,502
1039,-151.70000000000044,False,506
1040,-161.80000000000064,False,517
1041,-152.30000000000047,False,502
1042,-162.60000000000065,False,505
1043,-161.10000000000062,False,510
1044,-152.30000000000047,False,502
1045,-162.60000000000065,False,505
1046,-163.10000000000065,False,510
1047,-152.30000000000047,False,502
1048,-152.30000000000047,False,502
1049,-151.50000000000045,False,504
1050,-152.00000000000045,False,509
